Transaction_id,Member_number,Date,itemDescription
1001,1808,21-07-2015,tropical fruit
1002,2552,05-01-2015,whole milk
1003,2300,19-09-2015,pip fruit
1004,1187,12-12-2015,other vegetables
1005,3037,01-02-2015,whole milk
1006,4941,14-02-2015,rolls/buns
1007,4501,08-05-2015,other vegetables
1008,3803,23-12-2015,pot plants
1009,2762,20-03-2015,whole milk
1010,4119,12-02-2015,tropical fruit
1011,1340,24-02-2015,citrus fruit
1012,2193,14-04-2015,beef
1013,1997,21-07-2015,frankfurter
1014,4546,03-09-2015,chicken
1015,4736,21-07-2015,butter
1016,1959,30-03-2015,fruit/vegetable juice
1017,1974,03-05-2015,packaged fruit/vegetables
1018,2421,02-09-2015,chocolate
1019,1513,03-08-2015,specialty bar
1020,1905,07-07-2015,other vegetables
1021,2810,08-09-2015,butter milk
1022,2867,12-11-2015,whole milk
1023,3962,18-09-2015,tropical fruit
1024,1088,30-11-2015,tropical fruit
1025,4976,17-07-2015,bottled water
1026,4056,12-06-2015,yogurt
1027,3611,13-02-2015,sausage
1028,1420,14-01-2015,other vegetables
1029,4286,08-03-2015,brown bread
1030,4918,27-01-2015,yogurt
1031,4783,22-10-2015,hamburger meat
1032,3709,26-10-2015,root vegetables
1033,4289,08-10-2015,pork
1034,1559,03-10-2015,beef
1035,2900,11-04-2015,pastry
1036,1905,21-02-2015,fruit/vegetable juice
1037,3527,29-09-2015,canned beer
1038,1495,09-01-2015,root vegetables
1039,3558,03-04-2015,citrus fruit
1040,3128,20-04-2015,sausage
1041,1863,04-08-2015,tropical fruit
1042,3841,19-07-2015,berries
1043,3903,06-10-2015,canned beer
1044,2658,16-10-2015,butter milk
1045,4272,06-06-2015,coffee
1046,1120,26-09-2015,pastry
1047,2676,15-08-2015,rolls/buns
1048,1697,21-05-2015,misc. beverages
1049,2507,25-08-2015,root vegetables
1050,4620,11-03-2015,sausage
1051,3365,01-02-2015,canned beer
1052,2978,05-06-2015,ham
1053,2910,28-07-2015,turkey
1054,1061,05-09-2015,whole milk
1055,3276,03-04-2015,whole milk
1056,1326,19-06-2015,packaged fruit/vegetables
1057,3023,28-07-2015,rolls/buns
1058,2185,11-10-2015,ham
1059,3552,16-06-2015,rolls/buns
1060,1967,20-01-2015,other vegetables
1061,4708,20-03-2015,sausage
1062,2874,15-02-2015,sausage
1063,4177,13-04-2015,frankfurter
1064,1663,07-02-2015,rolls/buns
1065,2632,02-03-2015,whole milk
1066,1377,14-03-2015,curd cheese
1067,4162,22-12-2015,red/blush wine
1068,2270,01-07-2015,sausage
1069,4829,03-11-2015,tropical fruit
1070,3811,14-04-2015,red/blush wine
1071,4766,29-09-2015,whole milk
1072,2436,12-04-2015,frankfurter
1073,3860,05-05-2015,whole milk
1074,4875,12-05-2015,frozen potato products
1075,1587,01-07-2015,other vegetables
1076,4038,08-07-2015,citrus fruit
1077,4750,21-09-2015,flour
1078,1199,10-12-2015,sugar
1079,1603,30-09-2015,frozen meals
1080,3111,31-01-2015,chocolate
1081,3894,13-12-2015,root vegetables
1082,1456,18-09-2015,root vegetables
1083,2022,04-03-2015,herbs
1084,2505,30-11-2015,bottled water
1085,4851,20-12-2015,sausage
1086,4293,04-08-2015,coffee
1087,2775,06-11-2015,pork
1088,3693,18-02-2015,berries
1089,1202,22-07-2015,soda
1090,3699,23-08-2015,berries
1091,4152,15-04-2015,fruit/vegetable juice
1092,4155,26-01-2015,citrus fruit
1093,4010,29-12-2015,pork
1094,4389,20-10-2015,detergent
1095,3746,17-08-2015,grapes
1096,2560,17-05-2015,sausage
1097,1503,25-07-2015,chicken
1098,2555,23-12-2015,whole milk
1099,3645,12-12-2015,citrus fruit
1100,3886,11-09-2015,soda
1101,2932,20-03-2015,sausage
1102,1711,18-06-2015,frankfurter
1103,4291,08-12-2015,sausage
1104,1143,25-04-2015,soda
1105,4564,08-07-2015,rolls/buns
1106,3337,14-05-2015,beef
1107,4931,04-05-2015,whole milk
1108,2623,10-10-2015,processed cheese
1109,4581,03-04-2015,tropical fruit
1110,2635,11-06-2015,frankfurter
1111,1095,30-10-2015,packaged fruit/vegetables
1112,2990,23-05-2015,whole milk
1113,2426,05-06-2015,berries
1114,4555,07-11-2015,citrus fruit
1115,3635,04-09-2015,tropical fruit
1116,3058,18-05-2015,hamburger meat
1117,4391,26-03-2015,hamburger meat
1118,1306,23-06-2015,whole milk
1119,1024,10-08-2015,fish
1120,1295,23-07-2015,frankfurter
1121,1661,01-06-2015,packaged fruit/vegetables
1122,4591,15-05-2015,pastry
1123,3169,14-06-2015,other vegetables
1124,3915,21-05-2015,misc. beverages
1125,1127,14-01-2015,frankfurter
1126,4828,08-08-2015,sparkling wine
1127,3683,10-06-2015,specialty bar
1128,1971,18-09-2015,sausage
1129,3014,11-11-2015,curd cheese
1130,3779,15-09-2015,frankfurter
1131,2489,04-05-2015,whole milk
1132,3564,27-06-2015,newspapers
1133,4092,30-09-2015,berries
1134,3221,13-01-2015,curd
1135,1279,06-09-2015,tropical fruit
1136,2581,22-08-2015,soda
1137,2295,25-02-2015,rolls/buns
1138,4760,22-02-2015,canned beer
1139,3649,16-01-2015,canned beer
1140,1075,19-11-2015,frankfurter
1141,3987,19-08-2015,other vegetables
1142,4106,25-08-2015,whole milk
1143,4338,24-06-2015,whole milk
1144,4166,06-11-2015,citrus fruit
1145,1211,10-03-2015,frankfurter
1146,3954,21-01-2015,frankfurter
1147,3928,18-07-2015,butter milk
1148,3827,30-09-2015,hamburger meat
1149,4699,08-02-2015,pasta
1150,4747,08-06-2015,other vegetables
1151,3028,09-06-2015,sausage
1152,2851,16-03-2015,rolls/buns
1153,4417,25-02-2015,grapes
1154,3822,07-03-2015,root vegetables
1155,2288,31-05-2015,coffee
1156,2184,30-06-2015,popcorn
1157,4554,27-08-2015,whole milk
1158,3361,05-03-2015,tropical fruit
1159,2999,17-04-2015,beef
1160,2614,25-06-2015,whole milk
1161,4064,05-06-2015,frankfurter
1162,3567,04-10-2015,tropical fruit
1163,2587,07-05-2015,canned beer
1164,3783,17-06-2015,finished products
1165,1923,14-02-2015,beverages
1166,4835,19-02-2015,hamburger meat
1167,1514,24-08-2015,whole milk
1168,3154,22-06-2015,finished products
1169,1313,25-12-2015,other vegetables
1170,2794,18-07-2015,ham
1171,2359,09-04-2015,other vegetables
1172,2238,09-03-2015,curd
1173,3795,17-01-2015,bottled beer
1174,3724,26-11-2015,curd
1175,1152,05-03-2015,whole milk
1176,4559,16-03-2015,whole milk
1177,3922,27-02-2015,dessert
1178,1709,22-04-2015,sausage
1179,2219,17-04-2015,other vegetables
1180,2206,17-10-2015,ham
1181,1752,06-04-2015,other vegetables
1182,3942,10-11-2015,other vegetables
1183,3296,17-08-2015,soda
1184,2257,05-02-2015,herbs
1185,4313,28-07-2015,frankfurter
1186,2001,21-08-2015,rolls/buns
1187,2449,08-07-2015,curd
1188,4914,12-04-2015,frankfurter
1189,2764,24-07-2015,other vegetables
1190,4187,09-05-2015,dog food
1191,1392,20-04-2015,specialty bar
1192,3427,28-04-2015,curd
